experiment,k,depth,run,witness_s,prove_s,verify_s,total_prover_s,status
bounded_history,20,2,1,0.4045778500000097,5.74254593400002,0.6226593669999829,6.14712378400003,success
bounded_history,20,2,2,0.4181818229999976,5.808390719999977,0.6313141150000092,6.226572542999975,success
bounded_history,20,2,3,0.40916921699999875,5.81866259100002,0.6278669029999833,6.227831808000019,success
bounded_history,20,2,4,0.4077828160000081,5.792847585000004,0.6422639129999652,6.200630401000012,success
bounded_history,20,2,5,0.401191496000024,5.793759088000002,0.6153852329999836,6.194950584000026,success
bounded_history,20,2,6,0.4028987210000423,5.775649688000044,0.6299276750000331,6.178548409000086,success
bounded_history,20,2,7,0.41146294199995737,5.798457367000026,0.6367371929999308,6.209920308999983,success
bounded_history,20,2,8,0.39755478300003233,5.721932941000091,0.6298412009999765,6.119487724000123,success
bounded_history,20,2,9,0.4043105870000545,5.75603260999992,0.6345921470000349,6.160343196999975,success
bounded_history,20,2,10,0.40537748700000975,5.8040173770000365,0.6257073240000182,6.209394864000046,success
bounded_history,20,2,11,0.4029793490000202,5.784502122999925,0.6335996899999827,6.187481471999945,success
bounded_history,20,2,12,0.42202031099998294,5.870409363000022,0.6395777970000154,6.2924296740000045,success
bounded_history,20,2,13,0.4093751139999995,5.781039544999999,0.6053668029999244,6.190414658999998,success
bounded_history,20,2,14,0.40809786600004827,5.848758726000028,0.6262701320000588,6.2568565920000765,success
bounded_history,20,2,15,0.39855778500009365,5.749031167999988,0.6239279559999886,6.147588953000081,success
bounded_history,20,2,16,0.3775218539999514,5.75007189300004,0.6262618439999414,6.127593746999992,success
bounded_history,20,2,17,0.40493515499997557,5.770566587000076,0.6133354189998954,6.175501742000051,success
bounded_history,20,2,18,0.4031523549999747,5.745275159000016,0.6160856609999428,6.148427513999991,success
bounded_history,20,2,19,0.40034288300000753,5.733252873999959,0.6389966680000043,6.133595756999966,success
bounded_history,20,2,20,0.3978416790000665,5.770215532000066,0.6160694530000228,6.168057211000132,success
bounded_history,20,2,21,0.42797753099989677,6.700738368999964,0.6763601950000293,7.128715899999861,success
bounded_history,20,2,22,0.4337444919999598,6.987254241999949,0.6818692120000378,7.420998733999909,success
bounded_history,20,2,23,0.4453684160000648,6.057772451999995,0.6224776579999798,6.5031408680000595,success
bounded_history,20,2,24,0.40144518800002515,5.7451380570000765,0.6255159069999081,6.146583245000102,success
bounded_history,20,2,25,0.40946434099998896,5.861259898999947,0.6295204629999489,6.270724239999936,success
bounded_history,20,2,26,0.3970423480000136,5.784366142000067,0.6182449120000229,6.181408490000081,success
bounded_history,20,2,27,0.40964752299998963,5.699487689999955,0.6285232110000152,6.109135212999945,success
bounded_history,20,2,28,0.39756244600005175,5.7031223789999785,0.6349477720000323,6.10068482500003,success
bounded_history,20,2,29,0.3855344349999541,5.84179481700005,0.6403724349999038,6.227329252000004,success
bounded_history,20,2,30,0.41552835699997104,5.7890183939999815,0.6233241200000066,6.204546750999953,success
